GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-3),PlayerType(PlayerType-2),Winner(PlayerIdx)
-619666105,SushiGo,3,GAME_OVER,98,0,4,24,Basic MCTS,20.0,34.0,46.0,40.0,rmhc,rhea,mcts,4,Basic MCTS,4,3,3,1,1,2,rmhc,2,rhea,mcts,rmhc,Basic MCTS,mcts,rhea,3
503938916,SushiGo,3,GAME_OVER,97,0,4,25,Basic MCTS,21.0,36.0,44.0,34.0,rmhc,rhea,mcts,4,Basic MCTS,4,2,2,1,1,3,rmhc,3,rhea,mcts,rmhc,Basic MCTS,mcts,rhea,3
346665430,SushiGo,3,GAME_OVER,98,0,4,26,mcts,37.0,41.0,33.0,38.0,Basic MCTS,rhea,rmhc,3,mcts,3,1,1,4,4,2,Basic MCTS,2,rhea,rmhc,Basic MCTS,mcts,rmhc,rhea,0
879079583,SushiGo,3,GAME_OVER,97,0,4,27,mcts,34.0,48.0,25.0,34.0,Basic MCTS,rhea,rmhc,2,mcts,2,1,1,4,4,2,Basic MCTS,2,rhea,rmhc,Basic MCTS,mcts,rmhc,rhea,0
-619666105,SushiGo,3,GAME_OVER,98,0,4,28,mcts,28.0,37.0,18.0,36.0,Basic MCTS,rhea,rmhc,3,mcts,3,1,1,4,4,2,Basic MCTS,2,rhea,rmhc,Basic MCTS,mcts,rmhc,rhea,0
503938916,SushiGo,3,GAME_OVER,96,0,4,29,mcts,41.0,39.0,20.0,26.0,Basic MCTS,rhea,rmhc,1,mcts,1,2,2,4,4,3,Basic MCTS,3,rhea,rmhc,Basic MCTS,mcts,rmhc,rhea,1
346665430,SushiGo,3,GAME_OVER,98,0,4,30,mcts,30.0,52.0,46.0,36.0,Basic MCTS,rmhc,rhea,4,mcts,4,1,1,2,2,3,Basic MCTS,3,rmhc,rhea,Basic MCTS,mcts,rhea,rmhc,0
879079583,SushiGo,3,GAME_OVER,96,0,4,31,mcts,40.0,42.0,31.0,14.0,Basic MCTS,rmhc,rhea,2,mcts,2,1,1,3,3,4,Basic MCTS,4,rmhc,rhea,Basic MCTS,mcts,rhea,rmhc,0
-619666105,SushiGo,3,GAME_OVER,97,0,4,32,mcts,31.0,47.0,33.0,17.0,Basic MCTS,rmhc,rhea,3,mcts,3,1,1,2,2,4,Basic MCTS,4,rmhc,rhea,Basic MCTS,mcts,rhea,rmhc,0
503938916,SushiGo,3,GAME_OVER,96,0,4,33,mcts,40.0,46.0,43.0,19.0,Basic MCTS,rmhc,rhea,3,mcts,3,1,1,2,2,4,Basic MCTS,4,rmhc,rhea,Basic MCTS,mcts,rhea,rmhc,0
346665430,SushiGo,3,GAME_OVER,96,0,4,34,mcts,32.0,44.0,19.0,36.0,rhea,Basic MCTS,rmhc,3,mcts,3,1,1,4,4,2,rhea,2,Basic MCTS,rmhc,rhea,mcts,rmhc,Basic MCTS,0
879079583,SushiGo,3,GAME_OVER,99,0,4,35,mcts,32.0,53.0,16.0,35.0,rhea,Basic MCTS,rmhc,3,mcts,3,1,1,4,4,2,rhea,2,Basic MCTS,rmhc,rhea,mcts,rmhc,Basic MCTS,0
-619666105,SushiGo,3,GAME_OVER,97,0,4,36,mcts,37.0,48.0,18.0,39.0,rhea,Basic MCTS,rmhc,3,mcts,3,1,1,4,4,2,rhea,2,Basic MCTS,rmhc,rhea,mcts,rmhc,Basic MCTS,0
503938916,SushiGo,3,GAME_OVER,96,0,4,37,mcts,36.0,47.0,16.0,39.0,rhea,Basic MCTS,rmhc,3,mcts,3,1,1,4,4,2,rhea,2,Basic MCTS,rmhc,rhea,mcts,rmhc,Basic MCTS,0
346665430,SushiGo,3,GAME_OVER,96,0,4,38,mcts,33.0,49.0,39.0,25.0,rhea,rmhc,Basic MCTS,3,mcts,3,1,1,2,2,4,rhea,4,rmhc,Basic MCTS,rhea,mcts,Basic MCTS,rmhc,0
879079583,SushiGo,3,GAME_OVER,98,0,4,39,mcts,36.0,44.0,36.0,21.0,rhea,rmhc,Basic MCTS,2,mcts,2,1,1,2,2,4,rhea,4,rmhc,Basic MCTS,rhea,mcts,Basic MCTS,rmhc,0
-619666105,SushiGo,3,GAME_OVER,96,0,4,40,mcts,44.0,41.0,35.0,24.0,rhea,rmhc,Basic MCTS,1,mcts,1,2,2,3,3,4,rhea,4,rmhc,Basic MCTS,rhea,mcts,Basic MCTS,rmhc,1
503938916,SushiGo,3,GAME_OVER,98,0,4,41,mcts,41.0,55.0,31.0,26.0,rhea,rmhc,Basic MCTS,2,mcts,2,1,1,3,3,4,rhea,4,rmhc,Basic MCTS,rhea,mcts,Basic MCTS,rmhc,0
346665430,SushiGo,3,GAME_OVER,102,0,4,42,mcts,27.0,64.0,45.0,39.0,rmhc,Basic MCTS,rhea,4,mcts,4,1,1,2,2,3,rmhc,3,Basic MCTS,rhea,rmhc,mcts,rhea,Basic MCTS,0
879079583,SushiGo,3,GAME_OVER,99,0,4,43,mcts,35.0,55.0,43.0,27.0,rmhc,Basic MCTS,rhea,3,mcts,3,1,1,2,2,4,rmhc,4,Basic MCTS,rhea,rmhc,mcts,rhea,Basic MCTS,0
-619666105,SushiGo,3,GAME_OVER,97,0,4,44,mcts,24.0,44.0,38.0,28.0,rmhc,Basic MCTS,rhea,4,mcts,4,1,1,2,2,3,rmhc,3,Basic MCTS,rhea,rmhc,mcts,rhea,Basic MCTS,0
503938916,SushiGo,3,GAME_OVER,96,0,4,45,mcts,23.0,70.0,39.0,32.0,rmhc,Basic MCTS,rhea,4,mcts,4,1,1,2,2,3,rmhc,3,Basic MCTS,rhea,rmhc,mcts,rhea,Basic MCTS,0
346665430,SushiGo,3,GAME_OVER,97,0,4,46,mcts,24.0,41.0,38.0,28.0,rmhc,rhea,Basic MCTS,4,mcts,4,1,1,2,2,3,rmhc,3,rhea,Basic MCTS,rmhc,mcts,Basic MCTS,rhea,0
879079583,SushiGo,3,GAME_OVER,97,0,4,47,mcts,15.0,45.0,40.0,40.0,rmhc,rhea,Basic MCTS,4,mcts,4,1,1,3,3,2,rmhc,2,rhea,Basic MCTS,rmhc,mcts,Basic MCTS,rhea,0
-619666105,SushiGo,3,GAME_OVER,98,0,4,48,mcts,25.0,55.0,41.0,32.0,rmhc,rhea,Basic MCTS,4,mcts,4,1,1,2,2,3,rmhc,3,rhea,Basic MCTS,rmhc,mcts,Basic MCTS,rhea,0
503938916,SushiGo,3,GAME_OVER,96,0,4,49,mcts,25.0,46.0,31.0,33.0,rmhc,rhea,Basic MCTS,4,mcts,4,1,1,3,3,2,rmhc,2,rhea,Basic MCTS,rmhc,mcts,Basic MCTS,rhea,0
346665430,SushiGo,3,GAME_OVER,97,0,4,50,rhea,44.0,37.0,21.0,41.0,Basic MCTS,mcts,rmhc,1,rhea,1,3,3,4,4,2,Basic MCTS,2,mcts,rmhc,Basic MCTS,rhea,rmhc,mcts,1
