GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-653656736,TicTacToe,0,GAME_OVER,5,4,2,33,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-400394132,TicTacToe,0,GAME_OVER,5,4,2,34,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1422203009,TicTacToe,0,GAME_OVER,5,4,2,35,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1113178468,TicTacToe,0,GAME_OVER,5,4,2,36,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-175367348,TicTacToe,0,GAME_OVER,6,5,2,37,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
1362911089,TicTacToe,0,GAME_OVER,5,4,2,38,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-347120262,TicTacToe,0,GAME_OVER,5,4,2,39,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1416514647,TicTacToe,0,GAME_OVER,6,5,2,40,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
-1570736736,TicTacToe,0,GAME_OVER,5,4,2,41,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1532681659,TicTacToe,0,GAME_OVER,5,4,2,42,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
2038358424,TicTacToe,0,GAME_OVER,5,4,2,43,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1950377550,TicTacToe,0,GAME_OVER,5,4,2,44,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-389679841,TicTacToe,0,GAME_OVER,5,4,2,45,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1652369011,TicTacToe,0,GAME_OVER,5,4,2,46,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
649728961,TicTacToe,0,GAME_OVER,6,5,2,47,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
1939385821,TicTacToe,0,GAME_OVER,5,4,2,48,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-765151654,TicTacToe,0,GAME_OVER,5,4,2,49,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-382843140,TicTacToe,0,GAME_OVER,6,5,2,50,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
1616233144,TicTacToe,0,GAME_OVER,5,4,2,51,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1825767405,TicTacToe,0,GAME_OVER,5,4,2,52,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1681345762,TicTacToe,0,GAME_OVER,5,4,2,53,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1466223696,TicTacToe,0,GAME_OVER,5,4,2,54,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-898042700,TicTacToe,0,GAME_OVER,5,4,2,55,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-622095176,TicTacToe,0,GAME_OVER,6,5,2,56,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
-1621553363,TicTacToe,0,GAME_OVER,6,5,2,57,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
2021511387,TicTacToe,0,GAME_OVER,5,4,2,58,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1677040338,TicTacToe,0,GAME_OVER,5,4,2,59,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1955989905,TicTacToe,0,GAME_OVER,5,4,2,60,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1876231119,TicTacToe,0,GAME_OVER,6,5,2,61,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
-1294795098,TicTacToe,0,GAME_OVER,5,4,2,62,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
127372284,TicTacToe,0,GAME_OVER,5,4,2,63,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-991207967,TicTacToe,0,GAME_OVER,5,4,2,64,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1049258221,TicTacToe,0,GAME_OVER,5,4,2,65,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-2039767727,TicTacToe,0,GAME_OVER,5,4,2,66,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1908179359,TicTacToe,0,GAME_OVER,5,4,2,67,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1115136563,TicTacToe,0,GAME_OVER,6,5,2,68,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
-1493045323,TicTacToe,0,GAME_OVER,5,4,2,69,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-394703714,TicTacToe,0,GAME_OVER,5,4,2,70,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-432712488,TicTacToe,0,GAME_OVER,6,5,2,71,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
491282519,TicTacToe,0,GAME_OVER,5,4,2,72,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-884033504,TicTacToe,0,GAME_OVER,6,5,2,73,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
991772015,TicTacToe,0,GAME_OVER,6,5,2,74,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
-835279488,TicTacToe,0,GAME_OVER,6,5,2,75,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
288423849,TicTacToe,0,GAME_OVER,5,4,2,76,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
306462715,TicTacToe,0,GAME_OVER,5,4,2,77,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1595934290,TicTacToe,0,GAME_OVER,6,5,2,78,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
372545689,TicTacToe,0,GAME_OVER,5,4,2,79,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1791317608,TicTacToe,0,GAME_OVER,5,4,2,80,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
594493312,TicTacToe,0,GAME_OVER,6,5,2,81,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
1375946348,TicTacToe,0,GAME_OVER,5,4,2,82,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1004766817,TicTacToe,0,GAME_OVER,6,5,2,83,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
