GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-1880183632,Connect4,3,GAME_OVER,7,0,2,29,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-1377239692,Connect4,3,GAME_OVER,7,0,2,30,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
1795532617,Connect4,3,GAME_OVER,7,0,2,31,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-1548656463,Connect4,3,GAME_OVER,7,0,2,32,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-653656736,Connect4,3,GAME_OVER,7,0,2,33,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-400394132,Connect4,3,GAME_OVER,7,0,2,34,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-1422203009,Connect4,3,GAME_OVER,7,0,2,35,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-1113178468,Connect4,7,GAME_OVER,15,0,2,36,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-175367348,Connect4,7,GAME_OVER,15,0,2,37,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
1362911089,Connect4,4,GAME_OVER,9,0,2,38,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-347120262,Connect4,3,GAME_OVER,7,0,2,39,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
1416514647,Connect4,4,GAME_OVER,9,0,2,40,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-1570736736,Connect4,3,GAME_OVER,7,0,2,41,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-1532681659,Connect4,3,GAME_OVER,7,0,2,42,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
2038358424,Connect4,3,GAME_OVER,7,0,2,43,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
1950377550,Connect4,3,GAME_OVER,7,0,2,44,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-389679841,Connect4,8,GAME_OVER,17,0,2,45,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-1652369011,Connect4,3,GAME_OVER,7,0,2,46,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
649728961,Connect4,3,GAME_OVER,7,0,2,47,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
1939385821,Connect4,3,GAME_OVER,7,0,2,48,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-765151654,Connect4,3,GAME_OVER,7,0,2,49,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-382843140,Connect4,3,GAME_OVER,7,0,2,50,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
1616233144,Connect4,3,GAME_OVER,7,0,2,51,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-1825767405,Connect4,4,GAME_OVER,9,0,2,52,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-1681345762,Connect4,3,GAME_OVER,7,0,2,53,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-1466223696,Connect4,3,GAME_OVER,7,0,2,54,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-898042700,Connect4,3,GAME_OVER,7,0,2,55,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-622095176,Connect4,3,GAME_OVER,7,0,2,56,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-1621553363,Connect4,3,GAME_OVER,7,0,2,57,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
2021511387,Connect4,6,GAME_OVER,13,0,2,58,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-1677040338,Connect4,3,GAME_OVER,7,0,2,59,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
1955989905,Connect4,3,GAME_OVER,7,0,2,60,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-1876231119,Connect4,5,GAME_OVER,11,0,2,61,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-1294795098,Connect4,3,GAME_OVER,7,0,2,62,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
127372284,Connect4,3,GAME_OVER,7,0,2,63,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-991207967,Connect4,4,GAME_OVER,9,0,2,64,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
1049258221,Connect4,4,GAME_OVER,9,0,2,65,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
