GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-3),PlayerType(PlayerType-2),Winner(PlayerIdx)
346665430,SushiGo,3,GAME_OVER,96,0,4,2,Basic MCTS,46.0,33.0,24.0,49.0,mcts,rhea,rmhc,2,Basic MCTS,2,3,3,4,4,1,mcts,1,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,2
879079583,SushiGo,3,GAME_OVER,99,0,4,3,Basic MCTS,42.0,32.0,22.0,42.0,mcts,rhea,rmhc,1,Basic MCTS,1,3,3,4,4,2,mcts,2,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,1
-619666105,SushiGo,3,GAME_OVER,97,0,4,4,Basic MCTS,35.0,31.0,26.0,40.0,mcts,rhea,rmhc,2,Basic MCTS,2,3,3,4,4,1,mcts,1,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,2
503938916,SushiGo,3,GAME_OVER,99,0,4,5,Basic MCTS,49.0,34.0,21.0,30.0,mcts,rhea,rmhc,1,Basic MCTS,1,2,2,4,4,3,mcts,3,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,1
-428737539,SushiGo,3,GAME_OVER,96,0,4,6,Basic MCTS,58.0,34.0,19.0,45.0,mcts,rhea,rmhc,1,Basic MCTS,1,3,3,4,4,2,mcts,2,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,1
-1745970416,SushiGo,3,GAME_OVER,97,0,4,7,Basic MCTS,38.0,29.0,32.0,45.0,mcts,rhea,rmhc,2,Basic MCTS,2,4,4,3,3,1,mcts,1,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,2
-1436161366,SushiGo,3,GAME_OVER,96,0,4,8,Basic MCTS,43.0,33.0,23.0,38.0,mcts,rhea,rmhc,1,Basic MCTS,1,3,3,4,4,2,mcts,2,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,1
-1151041315,SushiGo,3,GAME_OVER,96,0,4,9,Basic MCTS,50.0,32.0,13.0,44.0,mcts,rhea,rmhc,1,Basic MCTS,1,3,3,4,4,2,mcts,2,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,1
697067980,SushiGo,3,GAME_OVER,99,0,4,10,Basic MCTS,37.0,35.0,25.0,41.0,mcts,rhea,rmhc,2,Basic MCTS,2,3,3,4,4,1,mcts,1,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,2
1168140970,SushiGo,3,GAME_OVER,97,0,4,11,Basic MCTS,49.0,38.0,25.0,27.0,mcts,rhea,rmhc,1,Basic MCTS,1,2,2,4,4,3,mcts,3,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,1
-1491060889,SushiGo,3,GAME_OVER,100,0,4,12,Basic MCTS,46.0,31.0,27.0,33.0,mcts,rhea,rmhc,1,Basic MCTS,1,3,3,4,4,2,mcts,2,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,1
-1819802610,SushiGo,3,GAME_OVER,97,0,4,13,Basic MCTS,50.0,37.0,14.0,28.0,mcts,rhea,rmhc,1,Basic MCTS,1,2,2,4,4,3,mcts,3,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,1
-2121274456,SushiGo,3,GAME_OVER,96,0,4,14,Basic MCTS,47.0,32.0,32.0,46.0,mcts,rhea,rmhc,1,Basic MCTS,1,4,4,3,3,2,mcts,2,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,1
259280696,SushiGo,3,GAME_OVER,99,0,4,15,Basic MCTS,47.0,32.0,18.0,33.0,mcts,rhea,rmhc,1,Basic MCTS,1,3,3,4,4,2,mcts,2,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,1
1706137030,SushiGo,3,GAME_OVER,98,0,4,16,Basic MCTS,42.0,33.0,19.0,39.0,mcts,rhea,rmhc,1,Basic MCTS,1,3,3,4,4,2,mcts,2,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,1
545138396,SushiGo,3,GAME_OVER,99,0,4,17,Basic MCTS,46.0,31.0,20.0,37.0,mcts,rhea,rmhc,1,Basic MCTS,1,3,3,4,4,2,mcts,2,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,1
1376458976,SushiGo,3,GAME_OVER,97,0,4,18,Basic MCTS,59.0,30.0,20.0,32.0,mcts,rhea,rmhc,1,Basic MCTS,1,3,3,4,4,2,mcts,2,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,1
1195311045,SushiGo,3,GAME_OVER,98,0,4,19,Basic MCTS,38.0,32.0,24.0,40.0,mcts,rhea,rmhc,2,Basic MCTS,2,3,3,4,4,1,mcts,1,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,2
813477029,SushiGo,3,GAME_OVER,97,0,4,20,Basic MCTS,45.0,43.0,16.0,38.0,mcts,rhea,rmhc,1,Basic MCTS,1,2,2,4,4,3,mcts,3,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,1
-1466178614,SushiGo,3,GAME_OVER,99,0,4,21,Basic MCTS,42.0,27.0,30.0,46.0,mcts,rhea,rmhc,2,Basic MCTS,2,4,4,3,3,1,mcts,1,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,2
