GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-400394132,Connect4,3,GAME_OVER,7,0,2,34,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1422203009,Connect4,6,GAME_OVER,14,1,2,35,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
-1113178468,Connect4,8,GAME_OVER,18,1,2,36,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
-175367348,Connect4,4,GAME_OVER,10,1,2,37,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
1362911089,Connect4,5,GAME_OVER,12,1,2,38,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
-347120262,Connect4,7,GAME_OVER,16,1,2,39,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
1416514647,Connect4,4,GAME_OVER,9,0,2,40,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1570736736,Connect4,3,GAME_OVER,7,0,2,41,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1532681659,Connect4,3,GAME_OVER,7,0,2,42,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
2038358424,Connect4,3,GAME_OVER,7,0,2,43,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1950377550,Connect4,3,GAME_OVER,7,0,2,44,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-389679841,Connect4,7,GAME_OVER,16,1,2,45,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
-1652369011,Connect4,6,GAME_OVER,13,0,2,46,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
649728961,Connect4,3,GAME_OVER,7,0,2,47,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1939385821,Connect4,3,GAME_OVER,7,0,2,48,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-765151654,Connect4,3,GAME_OVER,7,0,2,49,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-382843140,Connect4,3,GAME_OVER,7,0,2,50,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1616233144,Connect4,3,GAME_OVER,7,0,2,51,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1825767405,Connect4,3,GAME_OVER,7,0,2,52,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1681345762,Connect4,3,GAME_OVER,7,0,2,53,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1466223696,Connect4,4,GAME_OVER,10,1,2,54,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
-898042700,Connect4,3,GAME_OVER,7,0,2,55,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-622095176,Connect4,3,GAME_OVER,7,0,2,56,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1621553363,Connect4,3,GAME_OVER,7,0,2,57,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
2021511387,Connect4,4,GAME_OVER,10,1,2,58,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
-1677040338,Connect4,3,GAME_OVER,7,0,2,59,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1955989905,Connect4,3,GAME_OVER,7,0,2,60,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1876231119,Connect4,3,GAME_OVER,7,0,2,61,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1294795098,Connect4,3,GAME_OVER,7,0,2,62,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
127372284,Connect4,3,GAME_OVER,7,0,2,63,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-991207967,Connect4,6,GAME_OVER,14,1,2,64,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
1049258221,Connect4,5,GAME_OVER,11,0,2,65,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-2039767727,Connect4,3,GAME_OVER,7,0,2,66,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1908179359,Connect4,3,GAME_OVER,7,0,2,67,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1115136563,Connect4,5,GAME_OVER,12,1,2,68,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
-1493045323,Connect4,3,GAME_OVER,7,0,2,69,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-394703714,Connect4,5,GAME_OVER,11,0,2,70,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-432712488,Connect4,3,GAME_OVER,7,0,2,71,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
491282519,Connect4,3,GAME_OVER,7,0,2,72,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-884033504,Connect4,3,GAME_OVER,7,0,2,73,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
991772015,Connect4,3,GAME_OVER,7,0,2,74,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-835279488,Connect4,4,GAME_OVER,9,0,2,75,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
288423849,Connect4,4,GAME_OVER,9,0,2,76,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
306462715,Connect4,3,GAME_OVER,7,0,2,77,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1595934290,Connect4,3,GAME_OVER,7,0,2,78,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
372545689,Connect4,3,GAME_OVER,7,0,2,79,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1791317608,Connect4,4,GAME_OVER,9,0,2,80,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
594493312,Connect4,3,GAME_OVER,7,0,2,81,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1375946348,Connect4,3,GAME_OVER,7,0,2,82,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1004766817,Connect4,4,GAME_OVER,9,0,2,83,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
714044006,Connect4,3,GAME_OVER,7,0,2,84,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1418075335,Connect4,6,GAME_OVER,13,0,2,85,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1141736524,Connect4,3,GAME_OVER,7,0,2,86,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
443981092,Connect4,3,GAME_OVER,7,0,2,87,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-68629972,Connect4,3,GAME_OVER,7,0,2,88,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1822990971,Connect4,3,GAME_OVER,7,0,2,89,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
268448290,Connect4,7,GAME_OVER,16,1,2,90,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
1043028123,Connect4,3,GAME_OVER,7,0,2,91,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1199211999,Connect4,3,GAME_OVER,7,0,2,92,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1398271441,Connect4,3,GAME_OVER,7,0,2,93,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
648115670,Connect4,3,GAME_OVER,7,0,2,94,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1962877811,Connect4,5,GAME_OVER,11,0,2,95,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1960070630,Connect4,3,GAME_OVER,7,0,2,96,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
36358070,Connect4,3,GAME_OVER,7,0,2,97,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
375050126,Connect4,3,GAME_OVER,7,0,2,98,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1468478823,Connect4,3,GAME_OVER,7,0,2,99,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-218109356,Connect4,3,GAME_OVER,7,0,2,100,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-3023545,Connect4,3,GAME_OVER,7,0,2,101,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1504533260,Connect4,4,GAME_OVER,9,0,2,102,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
731461140,Connect4,3,GAME_OVER,7,0,2,103,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-784229007,Connect4,4,GAME_OVER,9,0,2,104,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1136489594,Connect4,3,GAME_OVER,7,0,2,105,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-362921133,Connect4,3,GAME_OVER,7,0,2,106,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1364054475,Connect4,4,GAME_OVER,10,1,2,107,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
814423744,Connect4,3,GAME_OVER,7,0,2,108,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1075196489,Connect4,3,GAME_OVER,7,0,2,109,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1568387951,Connect4,9,GAME_OVER,19,0,2,110,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1781053528,Connect4,3,GAME_OVER,7,0,2,111,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1606283071,Connect4,3,GAME_OVER,7,0,2,112,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-543735179,Connect4,5,GAME_OVER,11,0,2,113,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1674156088,Connect4,3,GAME_OVER,7,0,2,114,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
166348003,Connect4,3,GAME_OVER,7,0,2,115,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1111867417,Connect4,4,GAME_OVER,9,0,2,116,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1814791316,Connect4,5,GAME_OVER,12,1,2,117,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
-1933375635,Connect4,3,GAME_OVER,7,0,2,118,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-427253403,Connect4,3,GAME_OVER,7,0,2,119,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-194714209,Connect4,5,GAME_OVER,12,1,2,120,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
-2069492797,Connect4,3,GAME_OVER,7,0,2,121,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1770987610,Connect4,3,GAME_OVER,7,0,2,122,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
803393950,Connect4,3,GAME_OVER,7,0,2,123,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
729978769,Connect4,6,GAME_OVER,14,1,2,124,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
1696041272,Connect4,3,GAME_OVER,7,0,2,125,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-820865651,Connect4,5,GAME_OVER,11,0,2,126,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1274945941,Connect4,3,GAME_OVER,7,0,2,127,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
309225253,Connect4,3,GAME_OVER,7,0,2,128,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-211487773,Connect4,3,GAME_OVER,7,0,2,129,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
900850219,Connect4,3,GAME_OVER,7,0,2,130,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
656084288,Connect4,3,GAME_OVER,7,0,2,131,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-654510776,Connect4,3,GAME_OVER,7,0,2,132,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
367540394,Connect4,3,GAME_OVER,7,0,2,133,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
157779522,Connect4,3,GAME_OVER,7,0,2,134,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-742897131,Connect4,3,GAME_OVER,7,0,2,135,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
936541807,Connect4,5,GAME_OVER,11,0,2,136,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1110959865,Connect4,3,GAME_OVER,7,0,2,137,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-492937223,Connect4,4,GAME_OVER,9,0,2,138,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1127983648,Connect4,5,GAME_OVER,11,0,2,139,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-650173733,Connect4,6,GAME_OVER,14,1,2,140,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
-1567683149,Connect4,3,GAME_OVER,7,0,2,141,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
968865470,Connect4,4,GAME_OVER,9,0,2,142,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
2002296535,Connect4,3,GAME_OVER,7,0,2,143,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
375451423,Connect4,3,GAME_OVER,7,0,2,144,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-2103348381,Connect4,6,GAME_OVER,14,1,2,145,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
1342038375,Connect4,3,GAME_OVER,7,0,2,146,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1400281323,Connect4,3,GAME_OVER,7,0,2,147,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-96507681,Connect4,4,GAME_OVER,9,0,2,148,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
528391606,Connect4,3,GAME_OVER,7,0,2,149,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
580954778,Connect4,5,GAME_OVER,11,0,2,150,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-638561184,Connect4,3,GAME_OVER,7,0,2,151,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-41114663,Connect4,3,GAME_OVER,7,0,2,152,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-380019667,Connect4,5,GAME_OVER,11,0,2,153,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
