GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-3),PlayerType(PlayerType-2),Winner(PlayerIdx)
346665430,SushiGo,3,GAME_OVER,97,0,4,2,Basic MCTS,59.0,39.0,24.0,45.0,mcts,rhea,rmhc,1,Basic MCTS,1,3,3,4,4,2,mcts,2,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,1
879079583,SushiGo,3,GAME_OVER,96,0,4,3,Basic MCTS,41.0,35.0,18.0,39.0,mcts,rhea,rmhc,1,Basic MCTS,1,3,3,4,4,2,mcts,2,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,1
-619666105,SushiGo,3,GAME_OVER,97,0,4,4,Basic MCTS,55.0,25.0,23.0,41.0,mcts,rhea,rmhc,1,Basic MCTS,1,3,3,4,4,2,mcts,2,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,1
503938916,SushiGo,3,GAME_OVER,98,0,4,5,Basic MCTS,51.0,37.0,24.0,45.0,mcts,rhea,rmhc,1,Basic MCTS,1,3,3,4,4,2,mcts,2,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,1
346665430,SushiGo,3,GAME_OVER,97,0,4,6,Basic MCTS,65.0,37.0,44.0,18.0,mcts,rmhc,rhea,1,Basic MCTS,1,3,3,2,2,4,mcts,4,rmhc,rhea,mcts,Basic MCTS,rhea,rmhc,1
879079583,SushiGo,3,GAME_OVER,97,0,4,7,Basic MCTS,38.0,38.0,41.0,30.0,mcts,rmhc,rhea,2,Basic MCTS,2,3,3,1,1,4,mcts,4,rmhc,rhea,mcts,Basic MCTS,rhea,rmhc,3
-619666105,SushiGo,3,GAME_OVER,96,0,4,8,Basic MCTS,48.0,42.0,37.0,21.0,mcts,rmhc,rhea,1,Basic MCTS,1,2,2,3,3,4,mcts,4,rmhc,rhea,mcts,Basic MCTS,rhea,rmhc,1
503938916,SushiGo,3,GAME_OVER,98,0,4,9,Basic MCTS,45.0,33.0,30.0,18.0,mcts,rmhc,rhea,1,Basic MCTS,1,2,2,3,3,4,mcts,4,rmhc,rhea,mcts,Basic MCTS,rhea,rmhc,1
346665430,SushiGo,3,GAME_OVER,98,0,4,10,Basic MCTS,46.0,44.0,25.0,39.0,rhea,mcts,rmhc,1,Basic MCTS,1,2,2,4,4,3,rhea,3,mcts,rmhc,rhea,Basic MCTS,rmhc,mcts,1
879079583,SushiGo,3,GAME_OVER,99,0,4,11,Basic MCTS,42.0,33.0,21.0,47.0,rhea,mcts,rmhc,2,Basic MCTS,2,3,3,4,4,1,rhea,1,mcts,rmhc,rhea,Basic MCTS,rmhc,mcts,2
